Q,link,category,cat_link
Валидационные расчеты задач гемодинамики с использованием ПК FlowVision в режиме распараллеливания,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/validatsionnie-raschety-zadach-gemodynamiki,['Медицина'],['/ru/component/tags/tag/meditsina']
Исследование возможности создания облаков  при помощи аэрозоля и энергии солнечного излучения,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-vozmoznosti-stimulirovania-oblacnoj-konvekcii,['Метеорология'],['/ru/component/tags/tag/meteorologiya']
Сборник трудов Инженерные системы 2018,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2018-sbornik,"['Сетка', 'судостроение', 'Турбулентность', 'ЭМГД']","['/ru/component/tags/tag/setka', '/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/turbulentnost', '/ru/component/tags/tag/emgd']"
Моделирование конвективных атмосферных течений большого масштаба в ПК FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-konvektivnykh-atmosfernykh-techenij-bolshogo-masshtaba-v-pk-flowvision,"['Наука', 'Метеорология']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/meteorologiya']"
Российское решение для FSI: FlowVision и APM WinMachine,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fsi-flowvision-apm,[],[]
Стремление к развитию,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/stremlenie-k-razvitiyu,['Междисциплинарные задачи'],['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi']
Оценка эффективности проведения процедуры TAVR,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/tavr-simulation,"['Медицина', 'Биомеханика']","['/ru/component/tags/tag/meditsina', '/ru/component/tags/tag/biomekhanika']"
FlowVision в биомеханике,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/fv-bioengineering,"['Медицина', 'Биомеханика']","['/ru/component/tags/tag/meditsina', '/ru/component/tags/tag/biomekhanika']"
Сборник трудов Инженерные системы 2017,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/is2017-sbornik,['Междисциплинарные задачи'],['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi']
Математическое моделирование склоновых потоков с учетом неньютоновских свойств движущейся среды,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/slope-flows-ru,"['Наука', 'Экология', 'Строительство']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/ekologiya', '/ru/component/tags/tag/stroitelstvo']"
Исследование масштабируемости FlowVision на кластере с интерконнектом Ангара,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/angara-flowvision-2017,"['Наука', 'Междисциплинарные задачи', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Моделирование тепловых режимов радиоэлектронной аппаратуры,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/radio-electro-flow,"['Междисциплинарные задачи', 'Электротехника']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/elektrotekhnika']"
Численное моделирование внешнего обтекания спортсмена,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-vneshnego-obtekaniya-sportsmena,"['спорт', 'другое']","['/ru/component/tags/tag/sport', '/ru/component/tags/tag/drugoe']"
Расчет гидродинамических воздействий на возвращаемый аппарат при посадке на воду,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/raschet-gidrodinamicheskikh-vozdejstvij-na-vozvrashchaemyj-apparat-pri-posadke-na-vodu,"['судостроение', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/raketostroenie-i-opk']"
Верификация расчетных характеристик сверхзвуковых турбулентных струй,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/verifikatsiya-raschetnykh-kharakteristik-sverkhzvukovykh-turbulentnykh-struj,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
Потоки углового момента во вращающемся слое с локализованным нагревом,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/potoki-uglovogo-momenta-vo-vrashchayushchemsya-sloe-s-lokalizovannym-nagrevom,"['Наука', 'Метеорология']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/meteorologiya']"
Опыт использования программного комплекса FlowVision в преподавании курса гидромеханики в Волжской государственной академии водного транспорта,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opyt-ispolzovaniya-programmnogo-kompleksa-flowvision-v-prepodavanii-kursa-gidromekhaniki-v-volzhskoj-gosudarstvennoj-akademii-vodnogo-transporta,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Моделирование свободной конвекции у однорядного вертикального пучка горизонтальных труб,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-svobodnoj-konvektsii-u-odnoryadnogo-vertikalnogo-puchka-gorizontalnykh-trub,"['судостроение', 'Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Применение программного комплекса FlowVision в исследованиях конвективных потоков,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-kompleksa-flowvision-v-issledovaniyakh-konvektivnykh-potokov,"['Наука', 'Энергомашиностроение']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie']"
Газодинамические явления при импульсном неоднородном энерговкладе,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/gazodinamicheskie-yavleniya-pri-impulsnom-neodnorodnom-energovklade,"['Наука', 'Энергомашиностроение']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie']"
Численное моделирование задачи нагрева твердого тела с анизотропией коэффициентов теплопроводности при помощи FlowVision и Mathcad,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-zadachi-nagreva-tverdogo-tela-s-anizotropiej-koeffitsientov-teploprovodnosti-pri-pomoshchi-flowvision-i-mathcad,"['Энергомашиностроение', 'Междисциплинарные задачи', 'Электротехника']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/elektrotekhnika']"
Моделирование процесса формирования водяной завесы средствами FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-protsessa-formirovaniya-vodyanoj-zavesy-sredstvami-flowvision,"['другое', 'пожарная безопасность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/pozharnaya-bezopasnost']"
Опыт применения FlowVision для расчета аэродинамического сопротивления автобусов в колонне,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opyt-primeneniya-flowvision-dlya-rascheta-aerodinamicheskogo-soprotivleniya-avtobusov-v-kolonne,['Автомобилестроение'],['/ru/component/tags/tag/avtomobilestroenie']
Исследование динамики автоколебательного низкочастотного гидравлического привода,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-dinamiki-avtokolebatelnogo-nizkochastotnogo-gidravlicheskogo-privoda,"['Энергомашиностроение', 'гидравлика', 'нефтехимическое производство']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/gidravlika', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo']"
Моделирование гидродинамики течения охладителя и теплообмена в пористых компактных теплообменных аппаратах с использованием программного комплекса FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-gidrodinamiki-techeniya-okhladitelya-i-teploobmena-v-poristykh-kompaktnykh-teploobmennykh-apparatakh-s-ispolzovaniem-programmnogo-kompleksa-flowvision,"['Энергомашиностроение', 'Электротехника']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/elektrotekhnika']"
Методика оптимизации теплообменника зерносушильного комплекса с помощью программных комплексов FlowVision и IOSO,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/metodika-optimizatsii-teploobmennika-zernosushilnogo-kompleksa-s-pomoshchyu-programmnykh-kompleksov-flowvision-i-ioso,"['другое', 'Энергомашиностроение', 'Легкая и пищевая промышленность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/legkaya-i-pishchevaya-promyshlennost']"
Задачи оптимизации технических изделий и процессов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/zadachi-optimizatsii-tekhnicheskikh-izdelij-i-protsessov,"['Междисциплинарные задачи', 'оптимизация', 'тяжелая промышленность']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/optimizatsiya', '/ru/component/tags/tag/tyazhelaya-promyshlennost']"
Оптимизация положения элементов механизированного крыла с использованием программных комплексов FlowVision-HPC и IOSO,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/optimizatsiya-polozheniya-elementov-mekhanizirovannogo-kryla-s-ispolzovaniem-programmnykh-kompleksov-flowvision-hpc-i-ioso,"['Авиация', 'оптимизация']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/optimizatsiya']"
"Совместное использование программ инженерного анализа для численного моделирования течения жидкости в проточных частях насосов для решения задач сложного взаимодействия ""жидкость-конструкция""",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/sovmestnoe-ispolzovanie-programm-inzhenernogo-analiza-dlya-chislennogo-modelirovaniya-techeniya-zhidkosti-v-protochnykh-chastyakh-nasosov-dlya-resheniya-zadach-slozhnogo-vzaimodejstviya-zhidkost-konstruktsiya,"['Междисциплинарные задачи', 'FSI', 'Турбомашиностроение']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi', '/ru/component/tags/tag/turbomashinostroenie']"
Исследование характеристик статической и динамической аэроупругости крыла самолета с использованием программных комплексов SIMULIA Abaqus и FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-kharakteristik-staticheskoj-i-dinamicheskoj-aerouprugosti-kryla-samoleta-s-ispolzovaniem-programmnykh-kompleksov-simulia-abaqus-i-flowvision,"['Авиация', 'Междисциплинарные задачи', 'FSI']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi']"
Решение задачи по определению эффективности многокамерного дульного тормоза,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/reshenie-zadachi-po-opredeleniyu-effektivnosti-mnogokamernogo-dulnogo-tormoza-2,"['Ракетостроение и ОПК', 'Междисциплинарные задачи', 'оптимизация']","['/ru/component/tags/tag/raketostroenie-i-opk', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/optimizatsiya']"
Оптимизация дульного тормоза артиллерийского орудия с использованием программных комплексов FlowVision и IOSO,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/optimizatsiya-dulnogo-tormoza-artillerijskogo-orudiya-s-ispolzovaniem-programmnykh-kompleksov-flowvision-i-ioso,"['Ракетостроение и ОПК', 'Междисциплинарные задачи', 'оптимизация']","['/ru/component/tags/tag/raketostroenie-i-opk', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/optimizatsiya']"
Применение периодических граничных условий к теплогидравлическому расчету ТВС с оребренными твэлами,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-periodicheskikh-granichnykh-uslovij-k-teplogidravlicheskomu-raschetu-tvs-s-orebrennymi-tvelami-2,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Применение периодических граничных условий к теплогидравлическому расчету ТВС с оребренными твэлами,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-periodicheskikh-granichnykh-uslovij-k-teplogidravlicheskomu-raschetu-tvs-s-orebrennymi-tvelami,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Разработка модели турбулентного теплопереноса для жидкометаллического натриевого теплоносителя и её верификация,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/razrabotka-modeli-turbulentnogo-teploperenosa-dlya-zhidkometallicheskogo-natrievogo-teplonositelya-i-ejo-verifikatsiya,"['Наука', 'Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Применение программного комплекса FlowVision при разработке и оптимизации работы прямоточных смесителей,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-kompleksa-flowvision-pri-razrabotke-i-optimizatsii-raboty-pryamotochnykh-smesitelej,"['другое', 'нефтехимическое производство', 'химическая промышленность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo', '/ru/component/tags/tag/khimicheskaya-promyshlennost']"
Применение системы инженерного анализа FlowVision для решения прикладных задач гидродинамики судна,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-sistemy-inzhenernogo-analiza-flowvision-dlya-resheniya-prikladnykh-zadach-gidrodinamiki-sudna,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Применение программного комплекса FlowVision для анализа гидродинамики судна,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-kompleksa-flowvision-dlya-analiza-gidrodinamiki-sudna,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Технология моделирования работы судовых винто-рулевых комплексов в среде FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/tekhnologiya-modelirovaniya-raboty-sudovykh-vinto-rulevykh-kompleksov-v-srede-flowvision,"['судостроение', 'Турбомашиностроение']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Моделирование гидродинамики судов и подводных аппаратов с использованием комплекса FlowVision и программы FREE!ship Plus,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-gidrodinamiki-sudov-i-podvodnykh-apparatov-s-ispolzovaniem-kompleksa-flowvision-i-programmy-free-ship-plus,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Численное моделирование течения в погружном центробежном насосе для анализа расходно-напорной характеристики,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-techeniya-v-pogruzhnom-tsentrobezhnom-nasose-dlya-analiza-raskhodno-napornoj-kharakteristiki,"['Энергомашиностроение', 'нефтехимическое производство', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo', '/ru/component/tags/tag/turbomashinostroenie']"
Использование программного комплекса FlowVision при модернизации узла уплотнения турбины,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/ispolzovanie-programmnogo-okmpleksa-flowvision-pri-modernizatsii-uzla-uplotneniya-turbiny,"['Турбомашиностроение', 'Автомобилестроение']","['/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/avtomobilestroenie']"
Анализ течения в лопастной системе осевого вентилятора с применением CFD-расчетов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/analiz-techeniya-v-lopastnoj-sisteme-osevogo-ventilyatora-s-primeneniem-cfd-raschetov,"['Энергомашиностроение', 'Турбомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Отработка методики расчета аэродинамических характеристик вентиляторов на программном комплексе FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/otrabotka-metodiki-rascheta-aerodinamicheskikh-kharakteristik-ventilyatorov-na-programmnom-komplekse-flowvision,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Акустико-вихревая модель FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/akustiko-vikhrevaya-model-flowvision,"['Междисциплинарные задачи', 'Турбомашиностроение', 'акустика']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/akustika']"
Определение коэффициента начальной кавитации в центробежном насосе,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opredelenie-koeffitsienta-nachalnoj-kavitatsii-v-tsentrobezhnom-nasose,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Применение программного комплекса FlowVision для решения задач оптимизации систем охлаждения дутьевых устройств металлургических агрегатов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-okmpleksa-flowvision-dlya-resheniya-zadach-optimizatsii-sistem-okhlazhdeniya-dutevykh-ustrojstv-metallurgicheskikh-agregatov,"['другое', 'Энергомашиностроение', 'тяжелая промышленность', 'металлургия']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/tyazhelaya-promyshlennost', '/ru/component/tags/tag/metallurgiya']"
Использование пакета FlowVision для моделирования воздухозаборного тракта ГТЭ-110 Ивановский ГРЭС,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/ispolzovanie-paketa-flowvision-dlya-modelirovaniya-vozdukhozabornogo-trakta-gte-110-ivanovskij-gres,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Решение задач сопряженного теплообмена в рамках исследования камер сгорания ГТУ,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/reshenie-zadach-sopryazhennogo-teploobmena-v-ramkakh-issledovaniya-kamer-sgoraniya-gtu,"['Энергомашиностроение', 'Междисциплинарные задачи', 'FSI', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi', '/ru/component/tags/tag/turbomashinostroenie']"
Постановка задачи оптимизации тепловой работы водоохлаждаемого элемента дуговой сталеплавильной печи,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/postanovka-zadachi-optimizatsii-teplovoj-raboty-vodookhlazhdaemogo-elementa-dugovoj-staleplavilnoj-pechi,"['Энергомашиностроение', 'металлургия']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/metallurgiya']"
Моделирование процесса открытия шиберной задвижки,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-protsessa-otkrytiya-shibernoj-zadvizhki,"['Энергомашиностроение', 'нефтехимическое производство', 'трубопроводы']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo', '/ru/component/tags/tag/truboprovody']"
Использование FlowVision и IOSO для оптимизации охлаждения трансформатора,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/ispolzovanie-flowvision-i-ioso-dlya-optimizatsii-okhlazhdeniya-transformatora,"['Энергомашиностроение', 'Электротехника']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/elektrotekhnika']"
Проектирование приемников воздушных давлений,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/proektirovanie-priemnikov-vozdushnykh-davlenij,['Авиация'],['/ru/component/tags/tag/aviatsiya']
Исследование зависимости координат центра давления газодинамических органов управления вектором тяги ракетного двигателя,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-zavisimosti-koordinat-tsentra-davleniya-gazodinamicheskikh-organov-upravleniya-vektorom-tyagi-raketnogo-dvigatelya,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Применение программного комплекса FlowVision для проектирования авиакосмических конструкций,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-programmnogo-kompleksa-flowvision-dlya-proektirovaniya-aviakosmicheskikh-konstruktsij,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
"Опыт использования программного окмплекса FlowVision в процессе проектирования ракетно-космической техники в РКК ""Энергия"" им. С.П. Королева",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/opyt-ispolzovaniya-programmnogo-okmpleksa-flowvision-v-protsesse-proektirovaniya-raketno-kosmicheskoj-tekhniki-v-rkk-energiya-im-s-p-koroleva,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Проектирование приемников статического давления,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/proektirovanie-priemnikov-staticheskogo-davleniya,['Авиация'],['/ru/component/tags/tag/aviatsiya']
Применение пакета FlowVision для моделирования слива воды на открытый очаг пожара из контейнера на внешней подвеске вертолета,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-paketa-flowvision-dlya-modelirovaniya-sliva-vody-na-otkrytyj-ochag-pozhara-iz-kontejnera-na-vneshnej-podveske-vertoleta,"['Авиация', 'пожарная безопасность']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/pozharnaya-bezopasnost']"
Способы моделирования поведения жидкости в баках космических систем с помощью FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/sposoby-modelirovaniya-povedeniya-zhidkosti-v-bakakh-kosmicheskikh-sistem-s-pomoshchyu-flowvision,"['Авиация', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/raketostroenie-i-opk']"
Исследование течения двухфазного газового потока в камере РДТТ,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-techeniya-dvukhfaznogo-gazovogo-potoka-v-kamere-rdtt,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Верификация программного комплекса FlowVision для использования в авиационной отрасли,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/verifikatsiya-programmnogo-kompleksa-flowvision-dlya-ispolzovaniya-v-aviatsionnoj-otrasli,"['Авиация', 'тестирование']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/testirovanie']"
Математическое моделирование обтекания возвращаемого аппарата с работающей посадочной двигательной установкой,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/matematicheskoe-modelirovanie-obtekaniya-vozvrashchaemogo-apparata-s-rabotayushchej-posadochnoj-dvigatelnoj-ustanovkoj,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Исследования аэродинамических характеристик возвращаемого аппарата на посадочном режиме и воздействия струй на грунт,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovaniya-aerodinamicheskikh-kharakteristik-vozvrashchaemogo-apparata-na-posadochnom-rezhime-i-vozdejstviya-struj-na-grunt,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Численное моделирование продувки модели воздушно-транспортного модуля проекта МААТ,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-produvki-modeli-vozdushno-transportnogo-modulya-proekta-maat,"['Авиация', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/raketostroenie-i-opk']"
Моделирование промывки глаза при хирургии катаракты,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-promyvki-glaza-pri-khirurgii-katarakty,"['Междисциплинарные задачи', 'FSI', 'Медицина']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi', '/ru/component/tags/tag/meditsina']"
Применение модуля лагранжевых частиц программного комплекса FlowVision при моделировании обтекания технических средств локализации и ликвидации разливов нефти,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/primenenie-modulya-lagranzhevykh-chastits-programmnogo-kompleksa-flowvision-pri-modelirovanii-obtekaniya-tekhnicheskikh-sredstv-lokalizatsii-i-likvidatsii-razlivov-nefti,"['нефтехимическое производство', 'Экология']","['/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo', '/ru/component/tags/tag/ekologiya']"
Моделирование рабочих процессов в пиролизной установке для утилизации отходов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-rabochikh-protsessov-v-piroliznoj-ustanovke-dlya-utilizatsii-otkhodov,"['химическая промышленность', 'Экология']","['/ru/component/tags/tag/khimicheskaya-promyshlennost', '/ru/component/tags/tag/ekologiya']"
"Моделирование распада струй, формируемых форсунками с использованием ПК FlowVision",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-raspada-struj-formiruemykh-forsunkami-s-ispolzovaniem-pk-flowvision,['Автомобилестроение'],['/ru/component/tags/tag/avtomobilestroenie']
Моделирование взрывов в ПК FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-vzryvov-v-pk-flowvision,"['другое', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/raketostroenie-i-opk']"
