Q,link,category,cat_link
"Расчетные исследования аэродинамических характеристик тематической модели ЛА схемы ""летающее крыло"" с помощью программного комплекса FlowVision",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/raschetnye-issledovaniya-aerodinamicheskikh-kharakteristik-tematicheskoj-modeli-la-skhemy-letayushchee-krylo-s-pomoshchyu-programmnogo-kompleksa-flowvision,['Авиация'],['/ru/component/tags/tag/aviatsiya']
Моделирование истечения из суживающегося сопла,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-istecheniya-iz-suzhivayushchegosya-sopla,"['Ракетостроение и ОПК', 'Наука', 'тестирование']","['/ru/component/tags/tag/raketostroenie-i-opk', '/ru/component/tags/tag/nauka', '/ru/component/tags/tag/testirovanie']"
Численное моделирование горения этилена в сверхзвуковом потоке воздуха,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-goreniya-etilena-v-sverkhzvukovom-potoke-vozdukha,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Разработка воздушного тракта для системы охлаждения вертолета с использованием FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/razrabotka-vozdushnogo-trakta-dlya-sistemy-okhlazhdeniya-vertoleta-s-ispolzovaniem-flowvision,"['Авиация', 'Турбомашиностроение']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/turbomashinostroenie']"
Оптимизация судовых обводов для снижения сопротивления движению,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/optimizatsiya-sudovykh-obvodov-dlya-snizheniya-soprotivleniya-dvizheniyu,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Анализ ходовых качеств яхты с помощью программного комплекса FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/analiz-khodovykh-kachestv-yakhty-s-pomoshchyu-programmnogo-kompleksa-flowvision,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Статистика и обработка расчетных и экспериментальных данных характеристик МЭКС,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/statistika-i-obrabotka-raschetnykh-i-eksperimentalnykh-dannykh-kharakteristik-meks,"['Авиация', 'Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Исследование аэродинамических характеристик винтокольцевых (вентиляторных) БпЛА ВВП с использованиемчисленного моделирования в программном комплексе FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-aerodinamicheskikh-vintokoltsevykh-ventilyatornykh-bpla-vvp-s-ispolzovaniemchislennogo-modelirovaniya-v-programmnom-komplekse-flowvision,"['Авиация', 'Турбомашиностроение']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/turbomashinostroenie']"
Исследование применимости коммерческих CFD-кодов для моделирования процессов тепломассопереноса в жидкометаллическом теплоносителе,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-primenimosti-kommercheskikh-cfd-kodov-dlya-modelirovaniya-protsessov-teplomassoperenosa-v-zhidkometallicheskom-teplonositele,"['Наука', 'Энергомашиностроение', 'тестирование', 'атомная промышленность']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/testirovanie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Исследование влияния геометрического профиля сопла на параметры газа на срезе в программном комплексе FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-vliyaniya-geometricheskogo-profilya-sopla-na-parametry-gaza-na-sreze-v-programmnom-komplekse-flowvision,"['Авиация', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/raketostroenie-i-opk']"
Моделирование отрывных течений в программном комплексе FlowVision-HPC,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-otryvnykh-techenij-v-programmnom-komplekse-flowvision-hpc,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
Методика моделирования течения металлического теплоносителя в первом контуре ядерного реактора,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/metodika-modelirovaniya-techeniya-metallicheskogo-teplonositelya-v-pervom-konture-yadernogo-reaktora,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Расчетный анализ буксировочного сопротивления моторной яхты,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/raschetnyj-analiz-buksirovochnogo-soprotivleniya-motornoj-yakhty,['судостроение'],['/ru/component/tags/tag/sudostroenie']
"Исследование масштабируемости вычислений в ПК FlowVision на суперкомпьютере ""Ломоносов"" и ""Ломоносов-2""",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-masshtabiruemosti-vychislenij-v-pk-flowvision-na-superkompyutere-lomonosov-i-lomonosov-2,"['Наука', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Моделирование работы сердца для проектирования индивидуальных искусственных сердечных клапанов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-raboty-serdtsa-dlya-proektirovaniya-individualnykh-iskusstvennykh-serdechnykh-klapanov,"['Междисциплинарные задачи', 'FSI', 'Медицина']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi', '/ru/component/tags/tag/meditsina']"
"Разработка конструкции проточной части термокаталитического реактора ОАО ""ГИПРОГАЗООЧИСТКА"" с подогревом технологического газа на основе численного моделирования средствами ПК FlowVision",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/razrabotka-konstruktsii-protochnoj-chasti-termokataliticheskogo-reaktora-oao-giprogazoochistka-s-podogrevom-tekhnologicheskogo-gaza-na-osnove-chislennogo-modelirovaniya-sredstvami-pk-flowvision,"['Энергомашиностроение', 'химическая промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/khimicheskaya-promyshlennost']"
"Моделирование процессов, протекающих в малоэмиссионных камерах сгорания",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-protsessov-protekayushchikh-v-maloemissionnykh-kamerakh-sgoraniya,"['Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Использование URANS подхода для определения пульсаций температуры при перемешивании трех разнотемпературных струй натрия,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/ispolzovanie-urans-podkhoda-dlya-opredeleniya-pulsatsij-temperatury-pri-peremeshivanii-trekh-raznotemperaturnykh-struj-natriya,"['Наука', 'Энергомашиностроение', 'тестирование', 'атомная промышленность']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/testirovanie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Неравновесная инициация объемного горения в двигателе внутреннего сгорания: моделирование и постановка эксперимента,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/neravnovesnaya-initsiatsiya-ob-emnogo-goreniya-v-dvigatele-vnutrennego-sgoraniya-modelirovanie-i-postanovka-eksperimenta,['Автомобилестроение'],['/ru/component/tags/tag/avtomobilestroenie']
Доводка поля температур на выходе из малоэмисионной камеры сгорания методами трехмерного моделирования,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/dovodka-polya-temperatur-na-vykhode-iz-maloemisionnoj-kamery-sgoraniya-metodami-trekhmernogo-modelirovaniya,"['Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Эталонное тестирование ПК FlowVision в задаче моделирования обтекания судна,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/etalonnoe-testirovanie-pk-flowvision-v-zadache-modelirovaniya-obtekaniya-sudna,"['судостроение', 'тестирование']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/testirovanie']"
Моделирование байпасного ламинарно-турбулентного перехода в рамках k-e подхода,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-bajpasnogo-laminarno-turbulentnogo-perekhoda-v-ramkakh-k-e-podkhoda,"['Авиация', 'Наука', 'тестирование']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka', '/ru/component/tags/tag/testirovanie']"
Blood pump analysis for the U.S. Food & Drug Administration,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/blood-pump-analysis-for-the-u-s-food-drug-administration,"['Турбомашиностроение', 'Медицина']","['/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/meditsina']"
Использование инструментов Intel в разработке программного комплекса FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/ispolzovanie-instrumentov-intel-v-razrabotke-programmnogo-kompleksa-flowvision,"['Наука', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Верификация ПК FlowVision версии 3.08,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/verifikatsiya-pk-flowvision-versii-3-08,"['Авиация', 'тестирование', 'Естественная конвекция около вертикальной пластины', 'Адиабатическое сжатие газа поршнем', 'Течение в сопле лаваля', 'Косой скачок уплотнения', 'Дозвуковое течение около профиля naca0012 m=0.3, углы атаки=0…12о', 'Трансзвуковое течение около профиля naca0012 m=0.7, углы атаки = -0.001…4.8о', 'Трансзвуковое течение около профиля rae 2822 m= 0.729, угол атаки = 2.31о', 'Трансзвуковое обтекание крыла onera m6, m= 0.839, угол атаки = 3.06о', 'Трансзвуковое обтекание самолета dlr-f6', 'Трансзвуковое обтекание самолета dlr-f4', 'Ламинарное обтекание пластины', 'Ламинарное течение в сужающемся канале подшипника', 'Ламинарное течение куэтта с учетом тепловыделения за счет трения', 'Ламинарное течение между двумя вращающимися цилиндрами', 'Ламинарное течение в круглой трубе', 'Турбулентное обтекание пластины', 'Турбулентное обтекание обратного уступа', 'Падение шара в вязкой жидкости']",No
Исследование эффективности распараллеливания расчета движения подвижных тел и свободных поверхностей на компьютерах с распределенной памятью,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/issledovanie-effektivnosti-rasparallelivaniya-rascheta-dvizheniya-podvizhnykh-tel-i-svobodnykh-poverkhnostej-na-kompyuterakh-s-raspredelennoj-pamyatyu,"['Наука', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Численное моделирование отделения крышки люка парашютного контейнера возвращаемого аппарата,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-otdeleniya-kryshki-lyuka-parashyutnogo-kontejnera-vozvrashchaemogo-apparata,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Моделирование сверхзвукового обтекания тела с круговой каверной,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-sverkhzvukovogo-obtekaniya-tela-s-krugovoj-kavernoj,"['Авиация', 'Ракетостроение и ОПК']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/raketostroenie-i-opk']"
Решение задачи по определению эффективности многокамерного дульного тормоза,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/reshenie-zadachi-po-opredeleniyu-effektivnosti-mnogokamernogo-dulnogo-tormoza,"['Ракетостроение и ОПК', 'оптимизация']","['/ru/component/tags/tag/raketostroenie-i-opk', '/ru/component/tags/tag/optimizatsiya']"
Возможности визуализации в программном комплексе FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/vozmozhnosti-vizualizatsii-v-programmnom-komplekse-flowvision,"['Автомобилестроение', 'технологии']","['/ru/component/tags/tag/avtomobilestroenie', '/ru/component/tags/tag/tekhnologii']"
Моделирование течения в ВЭУ NREL с использованием пакета программ FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-techeniya-v-veu-nrel-s-ispolzovaniem-paketa-programm-flowvision,"['Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Моделирование течения натриевого теплоносителя в верхней камере японского реактора MONJU,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/modelirovanie-techeniya-natrievogo-teplonositelya-v-verkhnej-kamere-yaponskogo-reaktora-monju,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Продувка модели воздушно-транспортного модуля проекта MAAT,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/produvka-modeli-vozdushno-transportnogo-modulya-proekta-maat,['Авиация'],['/ru/component/tags/tag/aviatsiya']
Тестирование низкорейнольдсовой k-e модели турбулентности,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/testirovanie-nizkorejnoldsovoj-k-e-modeli-turbulentnosti,"['Авиация', 'тестирование']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/testirovanie']"
Численное моделирование процесса расхолаживания реактора БН,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/chislennoe-modelirovanie-protsessa-raskholazhivaniya-reaktora-bn,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
"Публикация в журнале ""САПР и графика"" Январь - 2014",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/statya-v-sapr-i-grafika-novyj-reliz-programmnogo-kompleksa-vychislitelnoj-gazodinamiki-flowvision,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Численное моделирование ламинарно-турбулентного перехода на корпусе судна в программном комплексте FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/lam-turb-perehod,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
Программный комплекс FlowVision как современный инструмент проектирования судовых обводов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/shipbuilding-2013,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Численное моделирование ударно-волновых воздействий на возвращаемый аппарат при срабатывании системы аварийного спасения,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/rkk-sas-2013,['Ракетостроение и ОПК'],['/ru/component/tags/tag/raketostroenie-i-opk']
Coupled CFD and structural analysis for world outright sailing speed record preparations,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/215,"['Авиация', 'судостроение', 'Междисциплинарные задачи', 'FSI']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi']"
Программный комплекс для решения оптимизационных задач,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/204,"['Авиация', 'оптимизация']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/optimizatsiya']"
"Распараллеливание вычислений с поверхностными межпроцессорными границами, масштабируемость...",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/164,['параллельные вычисления'],['/ru/component/tags/tag/parallelnye-vychisleniya']
Решение больших задач вычислительной гидродинамики на  СКИФ МГУ с помощью FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/163,"['Наука', 'параллельные вычисления']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/parallelnye-vychisleniya']"
Моделирование сильного взаимодействия  между жидкостью и конструкцией в авиационных приложениях,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/155,"['Авиация', 'Междисциплинарные задачи', 'FSI']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi']"
Применение различных моделей турбулентности для задач внешнего обтекания во FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/151,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
Использование FlowVision при доводке конструкции малотоксичной камеры сгорания,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/130,"['Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Разработка горелки с низкой эмиссией оксидов азота,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/129,"['Энергомашиностроение', 'Турбомашиностроение']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Исследование взаимодействия потоков жидкости в центробежно-струйной форсунке,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/128,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Исследование двухступенчатого сжигания метана в вихревой горелке,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/127,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
"Обтекание круглого цилиндра, смещённого с аэродинамической оси сильно закрученного циклонного пoтока",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/126,"['Наука', 'Энергомашиностроение', 'химическая промышленность']","['/ru/component/tags/tag/nauka', '/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/khimicheskaya-promyshlennost']"
Исследование работы скруббера по очистке колошникового газа после доменной печи,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/125,"['металлургия', 'химическая промышленность', 'Экология']","['/ru/component/tags/tag/metallurgiya', '/ru/component/tags/tag/khimicheskaya-promyshlennost', '/ru/component/tags/tag/ekologiya']"
Моделирование «холодного» течения двухкомпонентной смеси в газовоздушном тракте горелки КМ-1726,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/124,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Численное исследование аэродинамики закрученных потоков в трубах и газоходах,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/123,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Моделирование тепловых и гидродинамических процессов в элементах судовых энергетических установок,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/122,"['судостроение', 'Энергомашиностроение']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/energomashinostroenie']"
Анализ конструкции шахтного вентилятора,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/121,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Центробежный компрессор с пространственными лопатками двух типов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/120,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Моделирование трехмерного течения жидкости при проектировании проточных частей насосов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/119,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
"Исследование газодинамических характеристик компрессоров (часть 1),",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/118,"['Турбомашиностроение', 'Автомобилестроение']","['/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/avtomobilestroenie']"
"Исследование газодинамических характеристик компрессоров (часть 2),",https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/117,"['Турбомашиностроение', 'Автомобилестроение']","['/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/avtomobilestroenie']"
Использование FlowVision при расчете элементов проточной части турбокомпрессоров,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/116,"['Турбомашиностроение', 'Автомобилестроение', 'тестирование']","['/ru/component/tags/tag/turbomashinostroenie', '/ru/component/tags/tag/avtomobilestroenie', '/ru/component/tags/tag/testirovanie']"
Моделирование пространственного течения в ступени центробежного компрессора,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/115,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Отработка гидродинамических элементов корпуса скоростного судна,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/114,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Применение FlowVision для решения прикладных задач гидродинамики судна,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/113,"['судостроение', 'Турбомашиностроение']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Моделирование буксировочных испытаний перспективного контейнеровоза KRISO,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/112,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Моделирование буксировочных испытаний глиссирующего катера проекта MBR-05738,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/111,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Винты с подвижным креплением лопастей на ступице,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/110,"['судостроение', 'Турбомашиностроение']","['/ru/component/tags/tag/sudostroenie', '/ru/component/tags/tag/turbomashinostroenie']"
Численное моделирование обтекания корпуса судна в условиях мелководья,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/109,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Гидродинамический анализ судна в программном комплексе FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/108,['судостроение'],['/ru/component/tags/tag/sudostroenie']
Комплексное исследование процессов удаления отложений в нефтяных резервуарах,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/107,['нефтехимическое производство'],['/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo']
Использование FlowVision и ANSYS для определения НДС нефтяных резервуаров при удалении отложений,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/106,"['другое', 'Междисциплинарные задачи', 'нефтехимическое производство', 'FSI']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/neftekhimicheskoe-proizvodstvo', '/ru/component/tags/tag/fsi']"
Равномерность распределения жидкости в факеле распыла  центробежно-струйной форсунки,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/105,"['другое', 'Легкая и пищевая промышленность']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/legkaya-i-pishchevaya-promyshlennost']"
Исследование влияния профиля диафрагмированных труб теплообменников на эффективность теплообмена,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/103,['Энергомашиностроение'],['/ru/component/tags/tag/energomashinostroenie']
Сертификация системы моделирования движения жидкости и газа FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/102,"['тестирование', 'сертификация']","['/ru/component/tags/tag/testirovanie', '/ru/component/tags/tag/sertifikatsiya']"
Применение FlowVision для оптимизации геометрии реакторной установки ВБЭР-300,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/101,"['Энергомашиностроение', 'атомная промышленность']","['/ru/component/tags/tag/energomashinostroenie', '/ru/component/tags/tag/atomnaya-promyshlennost']"
Анализ задач взаимодействия «жидкость — конструкция» с использованием  Abaqus  и FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/100,"['Междисциплинарные задачи', 'FSI', 'Автомобилестроение']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi', '/ru/component/tags/tag/avtomobilestroenie']"
Анализ акустического шума автомобильной шины,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/99,"['Междисциплинарные задачи', 'акустика']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/akustika']"
Oil Leakage Trough a Valve Stem Seal,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/98,"['Междисциплинарные задачи', 'FSI']","['/ru/component/tags/tag/mezhdistsiplinarnye-zadachi', '/ru/component/tags/tag/fsi']"
Проектные расчеты узла поджига для машин термической резки металлов,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/97,"['другое', 'металлургия', 'тестирование']","['/ru/component/tags/tag/drugoe', '/ru/component/tags/tag/metallurgiya', '/ru/component/tags/tag/testirovanie']"
Расчет внутренних течений жидкости в каналах с помощью FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/96,['Турбомашиностроение'],['/ru/component/tags/tag/turbomashinostroenie']
Задачи внешнего обтекания с использованием различных моделей турбулентности во FlowVision,https://flowvision.ru/ru/flowvision-applications/shipbuilding-articles/95,"['Авиация', 'Наука']","['/ru/component/tags/tag/aviatsiya', '/ru/component/tags/tag/nauka']"
